FEATURE,FEATURE_VALUE,SURVIVAL_RATE,SURVIVED_PASSENGERS,TOTAL_PASSENGERS
age,1,.4765,71,149
age,2,.349,52,149
age,3,.4094,61,149
age,4,.4122,61,148
age,5,.3649,54,148
age,6,.2905,43,148
cabin,A,1,1,1
cabin,A,0,0,1
cabin,B,1,4,4
cabin,B,1,1,1
cabin,B,1,2,2
cabin,B,.5,1,2
cabin,B,0,0,1
cabin,C,1,1,1
cabin,C,1,2,2
cabin,C,.5,1,2
cabin,C,.5,2,4
cabin,C,.3333,1,3
cabin,C,0,0,1
cabin,C,0,0,2
cabin,D,1,2,2
cabin,D,1,1,1
cabin,D,.6667,2,3
cabin,D,0,0,2
cabin,D,0,0,1
cabin,E,1,2,2
cabin,E,1,3,3
cabin,E,1,1,1
cabin,E,.5,1,2
cabin,E,0,0,1
cabin,F,1,1,1
cabin,F,1,2,2
cabin,F,1,3,3
cabin,F,.6667,2,3
cabin,F,0,0,1
cabin,F,0,0,2
cabin,G,.5,2,4
cabin,T,0,0,1
cabin, - ,.2999,206,687
embarked,C,.5536,93,168
embarked,Q,.3896,30,77
embarked,S,1,2,2
embarked,S,.337,217,644
fare,1,.2148,32,149
fare,2,.1946,29,149
fare,3,.3423,51,149
fare,4,.4392,65,148
fare,5,.4189,62,148
fare,6,.6959,103,148
parch,0,.3437,233,678
