PASSENGERID,SURVIVED,PCLASS,SEX,AGE,FARE_PER_PASSENGER,FARE,TICKET,SIBSP,PARCH,CABIN,CABIN_LEVEL,EMBARKED
205,1,3,0,18,8.05,8.05,A/5 3540,0,0, - , - ,0
206,0,3,1,2,5.23,10.4625,347054,0,1,G6,G,0
207,0,3,0,32,7.93,15.85,3101278,1,0, - , - ,0
208,1,3,0,26,9.39,18.7875,2699,0,0, - , - ,1
209,1,3,1,16,7.75,7.75,367231,0,0, - , - ,2
210,1,1,0,40,31,31,112277,0,0,A31,A,1
211,0,3,0,24,7.05,7.05,SOTON/O.Q. 3101311,0,0, - , - ,0
212,1,2,1,35,21,21,F.C.C. 13528,0,0, - , - ,0
213,0,3,0,22,7.25,7.25,A/5 21174,0,0, - , - ,0
214,0,2,0,30,13,13,250646,0,0, - , - ,0
215,0,3,0, - ,7.75,7.75,367229,1,0, - , - ,2
216,1,1,1,31,37.76,113.275,35273,1,0,D36,D,1
217,1,3,1,27,7.93,7.925,STON/O2. 3101283,0,0, - , - ,0
218,0,2,0,42,13.5,27,243847,1,0, - , - ,0
219,1,1,1,32,76.29,76.2917,11813,0,0,D15,D,1
220,0,2,0,30,10.5,10.5,W/C 14208,0,0, - , - ,0
221,1,3,0,16,8.05,8.05,SOTON/OQ 392089,0,0, - , - ,0
222,0,2,0,27,13,13,220367,0,0, - , - ,0
223,0,3,0,51,8.05,8.05,21440,0,0, - , - ,0
224,0,3,0, - ,7.9,7.8958,349234,0,0, - , - ,0
225,1,1,0,38,45,90,19943,1,0,C93,C,0
226,0,3,0,22,9.35,9.35,PP 4348,0,0, - , - ,0
227,1,2,0,19,10.5,10.5,SW/PP 751,0,0, - , - ,0
228,0,3,0,20.5,7.25,7.25,A/5 21173,0,0, - , - ,0
229,0,2,0,18,13,13,236171,0,0, - , - ,0
230,0,3,1, - ,6.37,25.4667,4133,3,1, - , - ,0
231,1,1,1,35,41.74,83.475,36973,1,0,C83,C,0
232,0,3,0,29,7.78,7.775,347067,0,0, - , - ,0
233,0,2,0,59,13.5,13.5,237442,0,0, - , - ,0
234,1,3,1,5,7.85,31.3875,347077,4,2, - , - ,0
235,0,2,0,24,10.5,10.5,C.A. 29566,0,0, - , - ,0
236,0,3,1, - ,7.55,7.55,W./C. 6609,0,0, - , - ,0
337,0,1,0,29,33.3,66.6,113776,1,0,C2,C,0
338,1,1,1,41,67.25,134.5,16966,0,0,E40,E,1
339,1,3,0,45,8.05,8.05,7598,0,0, - , - ,0
340,0,1,0,45,35.5,35.5,113784,0,0,T,T,0
341,1,2,0,2,8.67,26,230080,1,1,F2,F,0
342,1,1,1,24,65.75,263,19950,3,2,C23 C25 C27,C,0
343,0,2,0,28,13,13,248740,0,0, - , - ,0
344,0,2,0,25,13,13,244361,0,0, - , - ,0
345,0,2,0,36,13,13,229236,0,0, - , - ,0
346,1,2,1,24,13,13,248733,0,0,F33,F,0
347,1,2,1,40,13,13,31418,0,0, - , - ,0
348,1,3,1, - ,16.1,16.1,386525,1,0, - , - ,0
349,1,3,0,3,7.95,15.9,C.A. 37671,1,1, - , - ,0
350,0,3,0,42,8.66,8.6625,315088,0,0, - , - ,0
351,0,3,0,23,9.23,9.225,7267,0,0, - , - ,0
352,0,1,0, - ,35,35,113510,0,0,C128,C,0
353,0,3,0,15,7.23,7.2292,2695,1,1, - , - ,1
354,0,3,0,25,8.9,17.8,349237,1,0, - , - ,0
