PASSENGERID,SURVIVED,PCLASS,SEX,AGE,AGE_BUCKET,FARE,FARE_PER_PASSENGER,FARE_BUCKET,TICKET,SIBSP,PARCH,CABIN,CABIN_LEVEL,EMBARKED
205,1,3,0,18,1,8.05,8.05,0,A/5 3540,0,0, - ,6,0
206,0,3,1,2,0,10.4625,5.23,0,347054,0,1,G6,6,0
207,0,3,0,32,3,15.85,7.93,0,3101278,1,0, - ,6,0
208,1,3,0,26,2,18.7875,9.39,0,2699,0,0, - ,5,1
209,1,3,1,16,1,7.75,7.75,0,367231,0,0, - ,5,2
210,1,1,0,40,4,31,31,2,112277,0,0,A31,0,1
211,0,3,0,24,2,7.05,7.05,0,SOTON/O.Q. 3101311,0,0, - ,6,0
212,1,2,1,35,3,21,21,1,F.C.C. 13528,0,0, - ,5,0
213,0,3,0,22,2,7.25,7.25,0,A/5 21174,0,0, - ,6,0
214,0,2,0,30,3,13,13,1,250646,0,0, - ,5,0
215,0,3,0,26.51,2,7.75,7.75,0,367229,1,0, - ,5,2
216,1,1,1,31,3,113.275,37.76,3,35273,1,0,D36,3,1
217,1,3,1,27,2,7.925,7.93,0,STON/O2. 3101283,0,0, - ,6,0
218,0,2,0,42,4,27,13.5,1,243847,1,0, - ,5,0
219,1,1,1,32,3,76.2917,76.29,5,11813,0,0,D15,3,1
220,0,2,0,30,3,10.5,10.5,0,W/C 14208,0,0, - ,5,0
221,1,3,0,16,1,8.05,8.05,0,SOTON/OQ 392089,0,0, - ,6,0
222,0,2,0,27,2,13,13,1,220367,0,0, - ,5,0
223,0,3,0,51,5,8.05,8.05,0,21440,0,0, - ,6,0
224,0,3,0,26.51,2,7.8958,7.9,0,349234,0,0, - ,6,0
225,1,1,0,38,3,90,45,4,19943,1,0,C93,2,0
226,0,3,0,22,2,9.35,9.35,0,PP 4348,0,0, - ,6,0
227,1,2,0,19,1,10.5,10.5,0,SW/PP 751,0,0, - ,5,0
228,0,3,0,20.5,2,7.25,7.25,0,A/5 21173,0,0, - ,6,0
229,0,2,0,18,1,13,13,1,236171,0,0, - ,5,0
230,0,3,1,21.75,2,25.4667,6.37,0,4133,3,1, - ,6,0
231,1,1,1,35,3,83.475,41.74,3,36973,1,0,C83,2,0
232,0,3,0,29,2,7.775,7.78,0,347067,0,0, - ,6,0
233,0,2,0,59,5,13.5,13.5,1,237442,0,0, - ,5,0
234,1,3,1,5,0,31.3875,7.85,0,347077,4,2, - ,6,0
235,0,2,0,24,2,10.5,10.5,0,C.A. 29566,0,0, - ,5,0
236,0,3,1,21.75,2,7.55,7.55,0,W./C. 6609,0,0, - ,6,0
337,0,1,0,29,2,66.6,33.3,3,113776,1,0,C2,2,0
338,1,1,1,41,4,134.5,67.25,5,16966,0,0,E40,4,1
339,1,3,0,45,4,8.05,8.05,0,7598,0,0, - ,6,0
340,0,1,0,45,4,35.5,35.5,3,113784,0,0,T,7,0
341,1,2,0,2,0,26,8.67,0,230080,1,1,F2,5,0
342,1,1,1,24,2,263,65.75,5,19950,3,2,C23 C25 C27,2,0
343,0,2,0,28,2,13,13,1,248740,0,0, - ,5,0
344,0,2,0,25,2,13,13,1,244361,0,0, - ,5,0
345,0,2,0,36,3,13,13,1,229236,0,0, - ,5,0
346,1,2,1,24,2,13,13,1,248733,0,0,F33,5,0
347,1,2,1,40,4,13,13,1,31418,0,0, - ,5,0
348,1,3,1,21.75,2,16.1,16.1,1,386525,1,0, - ,6,0
349,1,3,0,3,0,15.9,7.95,0,C.A. 37671,1,1, - ,6,0
350,0,3,0,42,4,8.6625,8.66,0,315088,0,0, - ,6,0
351,0,3,0,23,2,9.225,9.23,0,7267,0,0, - ,6,0
352,0,1,0,41.28,4,35,35,3,113510,0,0,C128,2,0
353,0,3,0,15,1,7.2292,7.23,0,2695,1,1, - ,5,1
354,0,3,0,25,2,17.8,8.9,0,349237,1,0, - ,6,0
